GR,log10(LLD),log10(MSFL),DT,RHOB,NPHI,PEF
20.27,1.951,1.2146,62.25,2.48,0.18,4.81
20.58,2.0221,1.3941,56.38,2.54,0.12,4.89
27.17,2.1091,1.9095,51.38,2.58,0.08,5.17
27.28,2.1382,1.7144,55.88,2.67,0.06,4.84
27.05,1.9624,1.4291,60.88,2.6,0.1,4.77
26.78,1.8732,1.3725,65.38,2.52,0.15,4.79
26.42,1.9165,1.0674,65.25,2.45,0.19,4.86
29.41,2.0361,1.2245,59.63,2.53,0.13,5.54
21.2,2.1265,1.8129,58.25,2.6,0.1,4.93
22.67,2.028,1.288,62.88,2.51,0.14,4.84
19.67,1.9625,1.1962,65.5,2.47,0.17,4.64
21.31,2.0718,1.5697,57.25,2.53,0.12,5.35
20.66,2.2477,2.0078,52.75,2.65,0.05,4.99
19.63,2.2342,2.0102,52.88,2.66,0.05,4.85
13.61,2.4624,2.2279,50.88,2.68,0.03,5.54
14.54,2.6574,2.4499,50.38,2.7,0.02,5.55
21.58,1.9595,1.0896,55.13,2.62,0.06,4.89
14.54,1.8292,1.578,57.13,2.58,0.09,5.16
13.43,1.7619,1.4706,58.5,2.55,0.11,5.36
19.72,2.4863,1.8034,50.88,2.67,0.03,5.27
18.39,2.3914,1.7217,52.25,2.68,0.04,5.26
18.64,2.3393,1.1652,52.88,2.66,0.04,4.81
17.77,2.4081,1.2114,52.13,2.67,0.04,4.77
18.02,2.6154,1.3054,50.5,2.68,0.03,5.25
20.41,2.848,1.857,49.25,2.7,0.02,5.8
22.81,2.8613,2.5697,49.75,2.68,0.02,5.2
23.72,2.7063,2.4072,51,2.69,0.02,5.49
18.52,2.5686,2.0248,51.88,2.68,0.04,5.44
15.15,2.474,1.9549,52.25,2.66,0.05,5.28
17.25,2.4211,1.6724,52.38,2.65,0.06,5.08
19.3,2.4048,1.7033,52.25,2.64,0.07,5.17
18.59,2.3757,1.7941,52.75,2.63,0.06,5.68
21.58,2.3832,1.5973,53.13,2.61,0.07,4.97
17.48,2.4186,1.9011,53,2.62,0.06,5.66
18.58,2.4481,1.8826,52.13,2.63,0.05,5.48
15.66,2.4108,1.7371,52,2.62,0.06,5.18
15.38,2.4069,1.9862,51.63,2.64,0.04,5.44
15.38,2.4396,1.7475,51.63,2.66,0.04,5.82
15.86,2.3944,1.7351,52.38,2.65,0.04,5.38
15.7,2.3554,1.7795,53.88,2.65,0.05,4.97
13.12,2.3128,1.5889,54.75,2.63,0.06,5.32
12.59,2.2252,1.6435,55.5,2.61,0.06,5.21
14.64,2.1695,1.6057,57,2.55,0.08,5.18
12.73,2.1237,1.4464,56.63,2.58,0.09,5.34
14.49,2.0935,0.4843,54.88,2.58,0.08,5.82
14.08,2.2,1.4669,53.13,2.6,0.07,5
14.69,2.3365,1.8451,51,2.66,0.05,4.97
17.03,2.3645,2.1375,51.13,2.69,0.04,5.51
16.75,2.3588,1.8388,51.5,2.66,0.04,5.31
21.27,2.384,1.9329,51.38,2.65,0.04,5.27
21.88,2.4192,2.1896,51.5,2.63,0.05,4.98
17.63,2.5191,2.3312,50.63,2.66,0.04,5.2
15.63,2.6142,2.605,49.75,2.68,0.02,5.59
19,2.6694,2.4261,49,2.69,0.02,5.21
19.69,2.7982,1.8973,48.13,2.71,0.01,5.29
15.49,2.7846,2.3476,48.5,2.71,0.01,5.4
15.64,2.7124,2.7686,49.25,2.7,0.02,5.66
18.06,2.6013,2.6561,50.38,2.71,0.02,5.94
17.19,2.5032,2.1797,51.63,2.69,0.02,5.92
18.89,2.3879,2.068,52.38,2.68,0.03,5.59
18.7,2.3616,1.9317,52.25,2.65,0.05,6.1
17.39,2.393,1.8432,52.63,2.63,0.05,5.82
19.83,2.3887,2.1,52.5,2.64,0.05,5.71
15.48,2.2687,1.9435,54.88,2.62,0.06,5.25
16.44,2.1254,1.5549,56,2.59,0.08,5.45
14.66,2.1809,1.7326,59.63,2.58,0.1,5.28
15.89,1.9844,1.3895,59.88,2.59,0.09,5.33
14.85,2.0177,1.4464,59.63,2.56,0.09,5.36
15.14,2.0621,1.5202,58.75,2.58,0.1,5.19
14.36,2.0954,1.5202,58.63,2.58,0.11,5.46
15.16,2.0869,1.36,62.25,2.56,0.11,5.13
17.06,2.047,1.499,62,2.54,0.12,5.04
15.29,2.0461,1.4739,60.88,2.56,0.11,4.54
15.59,2.0157,1.4711,60,2.56,0.11,4.77
16.34,1.9691,1.3054,58,2.56,0.1,4.96
16.17,1.9447,1.5315,56.5,2.6,0.08,5.21
16.83,2.0083,1.6017,56.5,2.62,0.07,5.35
13.46,2.0488,1.641,58.75,2.6,0.09,5.2
13.38,2.0208,1.4445,57.88,2.58,0.09,4.93
15.15,2.0172,1.7943,55.13,2.62,0.08,5.35
16.33,1.9862,1.6388,56.88,2.63,0.09,5.24
16.17,1.9655,1.5035,58.13,2.62,0.09,5.63
14.68,1.9944,1.5798,58.63,2.59,0.09,4.96
15.71,2.0622,1.5335,58,2.59,0.09,4.99
16.77,2.0884,1.6951,58.25,2.59,0.09,4.81
15.3,2.0458,1.5751,58.13,2.56,0.09,4.78
15.77,1.998,1.7525,57.75,2.55,0.1,5.25
17.36,2.0097,1.4136,58.5,2.56,0.1,5.38
15.73,1.9924,1.6264,59.75,2.56,0.1,4.98
13.48,1.9882,1.7047,58.75,2.56,0.09,4.7
14.27,2.017,1.551,56.88,2.59,0.09,5.25
14.26,2.0411,1.683,54,2.62,0.07,5.5
12.51,2.3257,2.2805,50.5,2.69,0.03,5.04
12.95,2.5624,2.6452,49.88,2.73,0.02,5.66
17.3,2.3554,2.4698,50.63,2.73,0.02,5.09
26.36,1.7988,1.8321,53,2.71,0.05,5.26
